12.5, 10, 400, 2767.174435434159
12.5, 25, 160, 2687.6914005700733
12.5, 50, 80, 2610.571445760502
12.5, 125, 32, 2540.592762977581
12.5, 250, 16, 2514.52989478121
12.5, 500, 8, 2501.083330725326
12.5, 1000, 4, 2497.8522323549096
12.5, 2000, 2, 2495.398115017803
12.5, 4000, 1, 2493.991182173148
15.0, 10, 400, 2760.278559868458
15.0, 25, 160, 2682.36189510691
15.0, 50, 80, 2602.8605200183183
15.0, 125, 32, 2535.681901657342
15.0, 250, 16, 2507.6385875792766
15.0, 500, 8, 2497.7228329568084
15.0, 1000, 4, 2494.498445360899
15.0, 2000, 2, 2492.6166357299257
15.0, 4000, 1, 2491.8556444902233
17.5, 10, 400, 2762.0248261615125
17.5, 25, 160, 2674.4780550418463
17.5, 50, 80, 2602.3536209961344
17.5, 125, 32, 2528.1683428306287
17.5, 250, 16, 2505.018823101488
17.5, 500, 8, 2495.817720106863
17.5, 1000, 4, 2491.6016698767553
17.5, 2000, 2, 2490.049154637192
17.5, 4000, 1, 2490.0389924231304
20.0, 10, 400, 2775.064191457411
20.0, 25, 160, 2675.1244013638598
20.0, 50, 80, 2597.203606798467
20.0, 125, 32, 2528.9394991512654
20.0, 250, 16, 2501.671716023589
20.0, 500, 8, 2494.4131461237703
20.0, 1000, 4, 2491.1728439209865
20.0, 2000, 2, 2489.838021781592
20.0, 4000, 1, 2489.2963463405836
30.0, 10, 400, 2759.9091949028566
30.0, 25, 160, 2666.0842435175236
30.0, 50, 80, 2592.545315934831
30.0, 125, 32, 2523.4520883693
30.0, 250, 16, 2497.4156004967276
30.0, 500, 8, 2490.086148190421
30.0, 1000, 4, 2487.96605656027
30.0, 2000, 2, 2486.589400118147
30.0, 4000, 1, 2486.1373811493554
40.0, 10, 400, 2760.222042876589
40.0, 25, 160, 2662.0264066555073
40.0, 50, 80, 2587.900098194448
40.0, 125, 32, 2517.8740583109866
40.0, 250, 16, 2495.866743510818
40.0, 500, 8, 2488.9469794851434
40.0, 1000, 4, 2486.002284559314
40.0, 2000, 2, 2485.0026986330076
40.0, 4000, 1, 2485.141900817101
50.0, 10, 400, 2749.9088243203755
50.0, 25, 160, 2664.758449532709
50.0, 50, 80, 2587.1970276128113
50.0, 125, 32, 2518.556019598883
50.0, 250, 16, 2494.965233366795
50.0, 500, 8, 2487.149255897064
50.0, 1000, 4, 2485.5887111889774
50.0, 2000, 2, 2484.3804633017767
50.0, 4000, 1, 2484.436472683048
75.0, 10, 400, 2757.781996633303
75.0, 25, 160, 2661.5674665739202
75.0, 50, 80, 2582.8841412395595
75.0, 125, 32, 2513.4782002478464
75.0, 250, 16, 2494.110167684814
75.0, 500, 8, 2485.976676507807
75.0, 1000, 4, 2483.82271467898
75.0, 2000, 2, 2483.3317107647385
75.0, 4000, 1, 2482.9962138214055
100.0, 10, 400, 2755.7500368010474
100.0, 25, 160, 2659.978304275238
100.0, 50, 80, 2580.341927831663
100.0, 125, 32, 2513.2806750620634
100.0, 250, 16, 2491.9141910826293
100.0, 500, 8, 2485.7235382980734
100.0, 1000, 4, 2483.383129282667
100.0, 2000, 2, 2482.645189362556
100.0, 4000, 1, 2482.6228936887887
125.0, 10, 400, 2759.9270546759603
125.0, 25, 160, 2663.156551439827
125.0, 50, 80, 2585.9136747727825
125.0, 125, 32, 2512.659538320142
125.0, 250, 16, 2491.5492097712217
125.0, 500, 8, 2484.895449279312
125.0, 1000, 4, 2483.0762221591935
125.0, 2000, 2, 2482.481556658816
125.0, 4000, 1, 2482.284509300415
150.0, 10, 400, 2764.570679997781
150.0, 25, 160, 2666.332140472835
150.0, 50, 80, 2579.4280830878106
150.0, 125, 32, 2513.266677105555
150.0, 250, 16, 2491.615037242331
150.0, 500, 8, 2484.4881069309345
150.0, 1000, 4, 2482.906457256373
150.0, 2000, 2, 2482.080339520273
150.0, 4000, 1, 2481.9920604907416
200.0, 10, 400, 2749.4767594618515
200.0, 25, 160, 2664.164849357944
200.0, 50, 80, 2577.7246214461006
200.0, 125, 32, 2511.335924306772
200.0, 250, 16, 2491.3399327087527
200.0, 500, 8, 2484.210934992284
200.0, 1000, 4, 2482.183630210626
200.0, 2000, 2, 2481.867436417373
200.0, 4000, 1, 2481.6401770539633
250.0, 10, 400, 2755.098931894395
250.0, 25, 160, 2661.332964423732
250.0, 50, 80, 2579.6647177675463
250.0, 125, 32, 2513.0749085218195
250.0, 250, 16, 2490.8116223979932
250.0, 500, 8, 2484.29335586269
250.0, 1000, 4, 2482.1152191351175
250.0, 2000, 2, 2481.656903853647
250.0, 4000, 1, 2481.386969139654
300.0, 10, 400, 2756.7014446439975
300.0, 25, 160, 2654.0615716387965
300.0, 50, 80, 2582.1814264924
